concept_name,section_uid,depth,loinc_code,code_display_name,raw_title,normalized_title,reason,parent_section_uid,heading_path,direct_char_count,child_count
acetaminophen,48b05cb8-c496-42d7-8c1e-7ad0dfa40fe3,0,42229-5,SPL UNCLASSIFIED SECTION,,,unclassified_no_title,,SPL UNCLASSIFIED SECTION,552,0
metformin,1e234bc4-4455-4efd-8b35-87affd7049d5,1,42229-5,SPL UNCLASSIFIED SECTION,2.1 Adult Dosage,ADULT DOSAGE,unclassified_with_title,f74b8a01-4fd2-428a-8c18-b30e02a096f6,2 DOSAGE AND ADMINISTRATION > 2.1 Adult Dosage,436,0
metformin,1bd7de3b-0d1a-4e8d-b26f-a765ca3dba14,1,42229-5,SPL UNCLASSIFIED SECTION,2.2 Pediatric Dosage for Metformin Hydrochloride Tablets,PEDIATRIC DOSAGE FOR METFORMIN HYDROCHLORIDE TABLETS,unclassified_with_title,f74b8a01-4fd2-428a-8c18-b30e02a096f6,2 DOSAGE AND ADMINISTRATION > 2.2 Pediatric Dosage for Metformin Hydrochloride Tablets,335,0
metformin,ae39b335-5130-497e-bd43-0ed084b24a68,1,42229-5,SPL UNCLASSIFIED SECTION,2.3 Recommendations for Use in Renal Impairment,RECOMMENDATIONS FOR USE IN RENAL IMPAIRMENT,unclassified_with_title,f74b8a01-4fd2-428a-8c18-b30e02a096f6,2 DOSAGE AND ADMINISTRATION > 2.3 Recommendations for Use in Renal Impairment,679,0
metformin,a3a368dd-bc65-4d5f-8ce1-88fb94ca97a7,1,42229-5,SPL UNCLASSIFIED SECTION,2.4 Discontinuation for Iodinated Contrast Imaging Procedures,DISCONTINUATION FOR IODINATED CONTRAST IMAGING PROCEDURES,unclassified_with_title,f74b8a01-4fd2-428a-8c18-b30e02a096f6,2 DOSAGE AND ADMINISTRATION > 2.4 Discontinuation for Iodinated Contrast Imaging Procedures,447,0
metformin,79785c0c-ec18-47ca-a4ee-e85b5f74651b,1,42229-5,SPL UNCLASSIFIED SECTION,5.1 Lactic Acidosis,LACTIC ACIDOSIS,unclassified_with_title,68e1d338-dcfb-453d-9b9f-d7aad6654e28,5 WARNINGS AND PRECAUTIONS > 5.1 Lactic Acidosis,6293,0
metformin,6e05de20-0e9a-47fc-8d2a-b2099a8831a5,1,42229-5,SPL UNCLASSIFIED SECTION,5.2 Vitamin B 12 Deficiency,VITAMIN B 12 DEFICIENCY,unclassified_with_title,68e1d338-dcfb-453d-9b9f-d7aad6654e28,5 WARNINGS AND PRECAUTIONS > 5.2 Vitamin B 12 Deficiency,816,0
metformin,48ad95d5-fcca-40d6-a8c0-0133f85b8698,1,42229-5,SPL UNCLASSIFIED SECTION,5.3 Hypoglycemia with Concomitant Use with Insulin and Insulin Secretagogues,HYPOGLYCEMIA WITH CONCOMITANT USE WITH INSULIN AND INSULIN SECRETAGOGUES,unclassified_with_title,68e1d338-dcfb-453d-9b9f-d7aad6654e28,5 WARNINGS AND PRECAUTIONS > 5.3 Hypoglycemia with Concomitant Use with Insulin and Insulin Secretagogues,422,0
metformin,8886d72e-25ea-4842-a0b1-67b7c4c33a8f,1,42229-5,SPL UNCLASSIFIED SECTION,5.4 Macrovascular Outcomes,MACROVASCULAR OUTCOMES,unclassified_with_title,68e1d338-dcfb-453d-9b9f-d7aad6654e28,5 WARNINGS AND PRECAUTIONS > 5.4 Macrovascular Outcomes,138,0
metformin,4621c2d7-32f9-4fe6-bc17-d807a4a2960e,1,42229-5,SPL UNCLASSIFIED SECTION,6.1 Clinical Studies Experience,CLINICAL STUDIES EXPERIENCE,unclassified_with_title,81881f45-75d8-4c2f-ab87-3d438d3e3bac,6 ADVERSE REACTIONS > 6.1 Clinical Studies Experience,263,1
metformin,13f458ca-0107-418b-924d-be8b2858a4a3,2,42229-5,SPL UNCLASSIFIED SECTION,Metformin Hydrochloride Tablets,METFORMIN HYDROCHLORIDE TABLETS,unclassified_with_title,4621c2d7-32f9-4fe6-bc17-d807a4a2960e,6 ADVERSE REACTIONS > 6.1 Clinical Studies Experience > Metformin Hydrochloride Tablets,1407,1
metformin,0f7c4f55-ae92-4e38-bf3c-aeedf0dcba65,3,42229-5,SPL UNCLASSIFIED SECTION,Pediatric Patients,PEDIATRIC PATIENTS,unclassified_with_title,13f458ca-0107-418b-924d-be8b2858a4a3,6 ADVERSE REACTIONS > 6.1 Clinical Studies Experience > Metformin Hydrochloride Tablets > Pediatric Patients,181,0
metformin,04564b27-89dc-4c88-97f8-40d4907e50ac,2,42229-5,SPL UNCLASSIFIED SECTION,Clinical Considerations,CLINICAL CONSIDERATIONS,unclassified_with_title,489d917f-011e-4adb-ae71-f438a1651c8e,8 USE IN SPECIFIC POPULATIONS > 8.1 Pregnancy > Clinical Considerations,0,1
metformin,27bca37e-7425-49ad-aaa5-68befd71435c,3,42229-5,SPL UNCLASSIFIED SECTION,Disease-associated Maternal and/or Embryo/Fetal Risk,DISEASE-ASSOCIATED MATERNAL AND/OR EMBRYO/FETAL RISK,unclassified_with_title,04564b27-89dc-4c88-97f8-40d4907e50ac,8 USE IN SPECIFIC POPULATIONS > 8.1 Pregnancy > Clinical Considerations > Disease-associated Maternal and/or Embryo/Fetal Risk,330,0
metformin,0079af1b-9977-459c-ae82-3e79f8a94ac6,2,42229-5,SPL UNCLASSIFIED SECTION,Data,DATA,unclassified_with_title,489d917f-011e-4adb-ae71-f438a1651c8e,8 USE IN SPECIFIC POPULATIONS > 8.1 Pregnancy > Data,0,2
metformin,a3614c63-84b4-4b1e-b8ea-a7e58bcb984e,3,42229-5,SPL UNCLASSIFIED SECTION,Human Data,HUMAN DATA,unclassified_with_title,0079af1b-9977-459c-ae82-3e79f8a94ac6,8 USE IN SPECIFIC POPULATIONS > 8.1 Pregnancy > Data > Human Data,412,0
metformin,be886151-0f9c-4da0-b658-5a925bf70438,3,42229-5,SPL UNCLASSIFIED SECTION,Animal Data,ANIMAL DATA,unclassified_with_title,0079af1b-9977-459c-ae82-3e79f8a94ac6,8 USE IN SPECIFIC POPULATIONS > 8.1 Pregnancy > Data > Animal Data,389,0
metformin,ff660ae2-c3b7-476a-9bb1-1fe316dea9da,2,42229-5,SPL UNCLASSIFIED SECTION,Data,DATA,unclassified_with_title,bc6125b5-2d3d-4599-be32-07484b651d2f,8 USE IN SPECIFIC POPULATIONS > 8.2 Lactation > Data,422,0
metformin,b9911c45-ab72-4056-a235-ce4c4e92fed9,2,42229-5,SPL UNCLASSIFIED SECTION,Metformin Hydrochloride Tablets,METFORMIN HYDROCHLORIDE TABLETS,unclassified_with_title,a28021ec-5227-485e-99fd-3ff5bbe4ccfa,8 USE IN SPECIFIC POPULATIONS > 8.4 Pediatric Use > Metformin Hydrochloride Tablets,983,0
metformin,4d3ee4f0-d89b-4e5b-b7cd-30bcd105920e,2,42229-5,SPL UNCLASSIFIED SECTION,Absorption,ABSORPTION,unclassified_with_title,cb786497-d5ea-45fa-b651-93314437675c,12 CLINICAL PHARMACOLOGY > 12.3 Pharmacokinetics > Absorption,582,1
metformin,ddebc8a2-b0cf-4a42-b027-327327652506,3,42229-5,SPL UNCLASSIFIED SECTION,Effect of Food,EFFECT OF FOOD,unclassified_with_title,4d3ee4f0-d89b-4e5b-b7cd-30bcd105920e,12 CLINICAL PHARMACOLOGY > 12.3 Pharmacokinetics > Absorption > Effect of Food,471,0
metformin,939561b6-fdae-4846-9a25-c7abbe6138ea,2,42229-5,SPL UNCLASSIFIED SECTION,Distribution,DISTRIBUTION,unclassified_with_title,cb786497-d5ea-45fa-b651-93314437675c,12 CLINICAL PHARMACOLOGY > 12.3 Pharmacokinetics > Distribution,271,0
metformin,0452552d-1d6e-4e4e-82a9-aaffc1e1ae34,2,42229-5,SPL UNCLASSIFIED SECTION,Metabolism,METABOLISM,unclassified_with_title,cb786497-d5ea-45fa-b651-93314437675c,12 CLINICAL PHARMACOLOGY > 12.3 Pharmacokinetics > Metabolism,223,0
metformin,bd660640-59a9-4831-b595-ea2f5f085dc3,2,42229-5,SPL UNCLASSIFIED SECTION,Elimination,ELIMINATION,unclassified_with_title,cb786497-d5ea-45fa-b651-93314437675c,12 CLINICAL PHARMACOLOGY > 12.3 Pharmacokinetics > Elimination,510,0
metformin,fd1da44c-f998-4427-98c6-ec59d30787bb,2,42229-5,SPL UNCLASSIFIED SECTION,Specific Populations,SPECIFIC POPULATIONS,unclassified_with_title,cb786497-d5ea-45fa-b651-93314437675c,12 CLINICAL PHARMACOLOGY > 12.3 Pharmacokinetics > Specific Populations,0,6
metformin,5ad594e0-85bb-44fc-813d-b47e11832c93,3,42229-5,SPL UNCLASSIFIED SECTION,Geriatrics,GERIATRICS,unclassified_with_title,fd1da44c-f998-4427-98c6-ec59d30787bb,12 CLINICAL PHARMACOLOGY > 12.3 Pharmacokinetics > Specific Populations > Geriatrics,1930,0
metformin,b8c1bda0-bafd-4bef-af56-3b32580569a8,3,42229-5,SPL UNCLASSIFIED SECTION,Pediatrics,PEDIATRICS,unclassified_with_title,fd1da44c-f998-4427-98c6-ec59d30787bb,12 CLINICAL PHARMACOLOGY > 12.3 Pharmacokinetics > Specific Populations > Pediatrics,311,0
metformin,db016b28-ef35-4ee4-ab6c-59601abaeebc,3,42229-5,SPL UNCLASSIFIED SECTION,Gender,GENDER,unclassified_with_title,fd1da44c-f998-4427-98c6-ec59d30787bb,12 CLINICAL PHARMACOLOGY > 12.3 Pharmacokinetics > Specific Populations > Gender,194,0
metformin,dcb07eaf-300d-48cb-bbc7-eb0fde4fde8c,3,42229-5,SPL UNCLASSIFIED SECTION,Race,RACE,unclassified_with_title,fd1da44c-f998-4427-98c6-ec59d30787bb,12 CLINICAL PHARMACOLOGY > 12.3 Pharmacokinetics > Specific Populations > Race,89,0
metformin,ff4d5be3-473b-4a30-ad52-91b85f400381,3,42229-5,SPL UNCLASSIFIED SECTION,In Vivo Assessment of Drug Interactions,IN VIVO ASSESSMENT OF DRUG INTERACTIONS,unclassified_with_title,98e1e684-1a96-4814-8a5a-f1a667548589,12 CLINICAL PHARMACOLOGY > 12.3 Pharmacokinetics > Drug Interactions > In Vivo Assessment of Drug Interactions,1799,0
metformin,366cd5d2-6a73-48bf-9907-67fbb6e88522,1,42229-5,SPL UNCLASSIFIED SECTION,14.1 Metformin Hydrochloride Tablets,METFORMIN HYDROCHLORIDE TABLETS,unclassified_with_title,1eb4de3b-d302-43d2-aa71-e30434414bd4,14 CLINICAL STUDIES > 14.1 Metformin Hydrochloride Tablets,0,2
metformin,7c556795-86f9-431b-8a0c-7519059b8ab0,2,42229-5,SPL UNCLASSIFIED SECTION,Adult Clinical Studies,ADULT CLINICAL STUDIES,unclassified_with_title,366cd5d2-6a73-48bf-9907-67fbb6e88522,14 CLINICAL STUDIES > 14.1 Metformin Hydrochloride Tablets > Adult Clinical Studies,3371,0
metformin,e020d240-23a3-4296-9294-919b21080139,2,42229-5,SPL UNCLASSIFIED SECTION,Pediatric Clinical Studies,PEDIATRIC CLINICAL STUDIES,unclassified_with_title,366cd5d2-6a73-48bf-9907-67fbb6e88522,14 CLINICAL STUDIES > 14.1 Metformin Hydrochloride Tablets > Pediatric Clinical Studies,943,0
metformin,c4ebe09c-366a-40e5-97a1-a284cfc1ea5f,1,42229-5,SPL UNCLASSIFIED SECTION,16.1 How Supplied,HOW SUPPLIED,unclassified_with_title,03d3c6b8-8d0e-400f-89fb-c059a2e28c97,16 HOW SUPPLIED/STORAGE AND HANDLING > 16.1 How Supplied,991,0
metformin,7e9e1057-5af3-4182-a7eb-e98d8c3143d9,1,42229-5,SPL UNCLASSIFIED SECTION,16.2 Storage,STORAGE,unclassified_with_title,03d3c6b8-8d0e-400f-89fb-c059a2e28c97,16 HOW SUPPLIED/STORAGE AND HANDLING > 16.2 Storage,176,0
lisinopril,f13ad52b-9a54-4a52-bfff-557256501ab8,1,42229-5,SPL UNCLASSIFIED SECTION,WARNING: FETAL TOXICITY,WARNING: FETAL TOXICITY,unclassified_with_title,828829dc-7b91-481f-aa3b-d17bbb590d79,BOXED WARNING SECTION > WARNING: FETAL TOXICITY,259,0
lisinopril,0be39cf3-9fdb-4ac6-9d5a-619657bcf2e6,1,,,1.1 Hypertension,HYPERTENSION,title_only_not_in_mapper,aa453e7f-c413-4da8-83cc-5bf2f224fa4b,1 INDICATIONS AND USAGE > 1.1 Hypertension,2604,0
lisinopril,5da3d4d5-e97b-4a14-a91a-d867c3a7ca07,1,,,1.2 Heart Failure,HEART FAILURE,title_only_not_in_mapper,aa453e7f-c413-4da8-83cc-5bf2f224fa4b,1 INDICATIONS AND USAGE > 1.2 Heart Failure,123,0
lisinopril,e8146428-26d1-4dcf-b383-99614a9a16f5,1,,,1.3 Reduction of Mortality in Acute Myocardial Infarction,REDUCTION OF MORTALITY IN ACUTE MYOCARDIAL INFARCTION,title_only_not_in_mapper,aa453e7f-c413-4da8-83cc-5bf2f224fa4b,1 INDICATIONS AND USAGE > 1.3 Reduction of Mortality in Acute Myocardial Infarction,320,0
lisinopril,b6582d5c-b485-4257-ad2f-c1d9744d70a2,1,,,2.1 Hypertension,HYPERTENSION,title_only_not_in_mapper,0e72997f-2f9f-41f1-ab85-395a9a0484c1,2 DOSAGE AND ADMINISTRATION > 2.1 Hypertension,1355,0
lisinopril,16a89152-3f4c-443a-a92d-bcd6efc250db,1,,,2.2 Heart Failure,HEART FAILURE,title_only_not_in_mapper,0e72997f-2f9f-41f1-ab85-395a9a0484c1,2 DOSAGE AND ADMINISTRATION > 2.2 Heart Failure,696,0
lisinopril,64555eda-ee2f-4cc2-bf84-0e3cd24a8811,1,,,2.3 Reduction of Mortality in Acute Myocardial Infarction,REDUCTION OF MORTALITY IN ACUTE MYOCARDIAL INFARCTION,title_only_not_in_mapper,0e72997f-2f9f-41f1-ab85-395a9a0484c1,2 DOSAGE AND ADMINISTRATION > 2.3 Reduction of Mortality in Acute Myocardial Infarction,737,0
lisinopril,a8dc091a-0c85-46a3-92c0-dfc9ab7f3e7a,1,,,2.4 Dose in Patients with Renal Impairment,DOSE IN PATIENTS WITH RENAL IMPAIRMENT,title_only_not_in_mapper,0e72997f-2f9f-41f1-ab85-395a9a0484c1,2 DOSAGE AND ADMINISTRATION > 2.4 Dose in Patients with Renal Impairment,565,0
lisinopril,f1e5aeb9-328e-435a-8ebb-158fae91556d,1,42229-5,SPL UNCLASSIFIED SECTION,,,unclassified_no_title,b43e6d14-2e3d-4389-bb07-fbce128b701b,3 DOSAGE FORMS AND STRENGTHS > SPL UNCLASSIFIED SECTION,751,0
lisinopril,151ceddf-d5d3-4e3e-ad3f-461513265c84,1,42229-5,SPL UNCLASSIFIED SECTION,,,unclassified_no_title,a809dc17-76dc-4ac8-b50f-51be00879fd9,4 CONTRAINDICATIONS > SPL UNCLASSIFIED SECTION,569,0
lisinopril,4ffa4615-36fc-4e48-9467-a520702980e4,1,,,5.1 Fetal Toxicity,FETAL TOXICITY,title_only_not_in_mapper,230c27ee-055d-4eba-8f46-092bccd981dd,5 WARNINGS AND PRECAUTIONS > 5.1 Fetal Toxicity,580,0
lisinopril,99d94934-5b83-4f59-bd9a-fb7b8e6c64f8,1,,,5.2 Angioedema and Anaphylactoid Reactions,ANGIOEDEMA AND ANAPHYLACTOID REACTIONS,title_only_not_in_mapper,230c27ee-055d-4eba-8f46-092bccd981dd,5 WARNINGS AND PRECAUTIONS > 5.2 Angioedema and Anaphylactoid Reactions,2482,0
lisinopril,9bac172d-8000-4dd6-bc6a-77f31e9e83fa,1,,,5.3 Impaired Renal Function,IMPAIRED RENAL FUNCTION,title_only_not_in_mapper,230c27ee-055d-4eba-8f46-092bccd981dd,5 WARNINGS AND PRECAUTIONS > 5.3 Impaired Renal Function,712,0
lisinopril,785c842e-8452-414f-9256-266a21895004,1,,,5.4 Hypotension,HYPOTENSION,title_only_not_in_mapper,230c27ee-055d-4eba-8f46-092bccd981dd,5 WARNINGS AND PRECAUTIONS > 5.4 Hypotension,1203,0
lisinopril,b7c5c8bf-6bc4-4f96-a6cf-e2be553f7f4f,1,,,5.5 Hyperkalemia,HYPERKALEMIA,title_only_not_in_mapper,230c27ee-055d-4eba-8f46-092bccd981dd,5 WARNINGS AND PRECAUTIONS > 5.5 Hyperkalemia,408,0
lisinopril,d10d3714-9e01-4e99-b0eb-334631c99943,1,,,5.6 Hepatic Failure,HEPATIC FAILURE,title_only_not_in_mapper,230c27ee-055d-4eba-8f46-092bccd981dd,5 WARNINGS AND PRECAUTIONS > 5.6 Hepatic Failure,393,0
lisinopril,e86210c6-2618-4b50-8ab1-5e19c064abb0,1,,,7.1 Diuretics,DIURETICS,title_only_not_in_mapper,a560fdb8-6a7f-4015-8b99-94715a241755,7 DRUG INTERACTIONS > 7.1 Diuretics,757,0
lisinopril,07f27d27-c077-4173-9b1b-044048f783ff,1,,,7.2 Antidiabetics,ANTIDIABETICS,title_only_not_in_mapper,a560fdb8-6a7f-4015-8b99-94715a241755,7 DRUG INTERACTIONS > 7.2 Antidiabetics,184,0
lisinopril,46a13ac4-ecbd-419e-ba2b-046bfb7eb123,1,,,7.3 Non-Steroidal Anti-Inflammatory Agents Including Selective Cyclooxygenase-2 Inhibitors (COX-2 Inhibitors),NON-STEROIDAL ANTI-INFLAMMATORY AGENTS INCLUDING SELECTIVE CYCLOOXYGENASE-2 INHIBITORS (COX-2 INHIBITORS),title_only_not_in_mapper,a560fdb8-6a7f-4015-8b99-94715a241755,7 DRUG INTERACTIONS > 7.3 Non-Steroidal Anti-Inflammatory Agents Including Selective Cyclooxygenase-2 Inhibitors (COX-2 Inhibitors),539,0
lisinopril,b6744ffa-f242-44d2-a504-04bbebd2bef4,1,,,7.4 Dual Blockade of the Renin-Angiotensin System (RAS),DUAL BLOCKADE OF THE RENIN-ANGIOTENSIN SYSTEM (RAS),title_only_not_in_mapper,a560fdb8-6a7f-4015-8b99-94715a241755,7 DRUG INTERACTIONS > 7.4 Dual Blockade of the Renin-Angiotensin System (RAS),1214,0
lisinopril,ece2c5d7-eddf-4bfd-a63e-76f6f33327bb,1,,,7.5 Lithium,LITHIUM,title_only_not_in_mapper,a560fdb8-6a7f-4015-8b99-94715a241755,7 DRUG INTERACTIONS > 7.5 Lithium,298,0
lisinopril,48c75bbd-70af-4186-aecd-b4c82ee39957,1,,,7.6 Gold,GOLD,title_only_not_in_mapper,a560fdb8-6a7f-4015-8b99-94715a241755,7 DRUG INTERACTIONS > 7.6 Gold,242,0
lisinopril,d1e4e85f-602c-4bd7-b885-7ff37e546032,1,,,7.7 mTOR Inhibitors,MTOR INHIBITORS,title_only_not_in_mapper,a560fdb8-6a7f-4015-8b99-94715a241755,7 DRUG INTERACTIONS > 7.7 mTOR Inhibitors,174,0
lisinopril,d1b4f7c7-7d46-4911-8e74-f93849878138,1,,,7.8 Neprilysin Inhibitor,NEPRILYSIN INHIBITOR,title_only_not_in_mapper,a560fdb8-6a7f-4015-8b99-94715a241755,7 DRUG INTERACTIONS > 7.8 Neprilysin Inhibitor,129,0
lisinopril,fad61083-a0ec-42f2-9c4a-e919e2200c7e,1,,,8.6 Race,RACE,title_only_not_in_mapper,ad563063-a3f0-426a-9636-97975cdc9ecb,8 USE IN SPECIFIC POPULATIONS > 8.6 Race,121,0
lisinopril,ea08ca66-1e93-4638-a87f-08568b1dd97b,1,,,14.1 Hypertension,HYPERTENSION,title_only_not_in_mapper,a286018a-b8ab-4c61-b80e-8df2e02e8166,14 CLINICAL STUDIES > 14.1 Hypertension,3302,0
lisinopril,8b4144f9-a60b-4f26-8e33-64dd92a9bb59,1,,,14.2 Heart Failure,HEART FAILURE,title_only_not_in_mapper,a286018a-b8ab-4c61-b80e-8df2e02e8166,14 CLINICAL STUDIES > 14.2 Heart Failure,1120,0
lisinopril,7ec15cc4-d134-4456-a080-110de01750c7,1,,,14.3 Acute Myocardial Infarction,ACUTE MYOCARDIAL INFARCTION,title_only_not_in_mapper,a286018a-b8ab-4c61-b80e-8df2e02e8166,14 CLINICAL STUDIES > 14.3 Acute Myocardial Infarction,2981,0
lisinopril,8e62cf96-e316-4ad7-908c-3a09e344efe3,1,42229-5,SPL UNCLASSIFIED SECTION,,,unclassified_no_title,c2f41a2e-5fdc-40d4-a3c1-3ea99345e737,17 PATIENT COUNSELING INFORMATION > SPL UNCLASSIFIED SECTION,193,0
atorvastatin,1a19f6eb-bb7f-492a-b236-f7b17010d661,1,42229-5,Spl Unclassified Section,2.1 Important Dosage Information,IMPORTANT DOSAGE INFORMATION,unclassified_with_title,4ee9f9ec-05d8-4831-bfdb-427fdd0a1c42,2 DOSAGE AND ADMINISTRATION > 2.1 Important Dosage Information,348,0
atorvastatin,83ddcd72-8c90-44d4-a998-cca05ffc8bfc,1,42229-5,Spl Unclassified Section,2.2 Recommended Dosage in Adult Patients,RECOMMENDED DOSAGE IN ADULT PATIENTS,unclassified_with_title,4ee9f9ec-05d8-4831-bfdb-427fdd0a1c42,2 DOSAGE AND ADMINISTRATION > 2.2 Recommended Dosage in Adult Patients,233,0
atorvastatin,7d6e0fae-ce12-466b-8bc2-9ad97fcb6fba,1,42229-5,Spl Unclassified Section,2.3 Recommended Dosage in Pediatric Patients 10 Years of Age and Older with HeFH,RECOMMENDED DOSAGE IN PEDIATRIC PATIENTS 10 YEARS OF AGE AND OLDER WITH HEFH,unclassified_with_title,4ee9f9ec-05d8-4831-bfdb-427fdd0a1c42,2 DOSAGE AND ADMINISTRATION > 2.3 Recommended Dosage in Pediatric Patients 10 Years of Age and Older with HeFH,131,0
atorvastatin,10a9b4d8-b7f8-45b8-8c5d-021d08a0390a,1,42229-5,Spl Unclassified Section,2.4 Recommended Dosage in Pediatric Patients 10 Years of Age and Older with HoFH,RECOMMENDED DOSAGE IN PEDIATRIC PATIENTS 10 YEARS OF AGE AND OLDER WITH HOFH,unclassified_with_title,4ee9f9ec-05d8-4831-bfdb-427fdd0a1c42,2 DOSAGE AND ADMINISTRATION > 2.4 Recommended Dosage in Pediatric Patients 10 Years of Age and Older with HoFH,141,0
atorvastatin,00d8d04e-fab4-4267-8908-067b67c134a6,1,42229-5,Spl Unclassified Section,2.5 Dosage Modifications Due to Drug Interactions,DOSAGE MODIFICATIONS DUE TO DRUG INTERACTIONS,unclassified_with_title,4ee9f9ec-05d8-4831-bfdb-427fdd0a1c42,2 DOSAGE AND ADMINISTRATION > 2.5 Dosage Modifications Due to Drug Interactions,896,0
atorvastatin,9d1e70e0-051d-4dc1-a3c3-296f6b5488f6,1,42229-5,Spl Unclassified Section,5.1 Myopathy and Rhabdomyolysis,MYOPATHY AND RHABDOMYOLYSIS,unclassified_with_title,79dd73e4-3521-44a6-bf87-346403d2ddfa,5 WARNINGS AND PRECAUTIONS > 5.1 Myopathy and Rhabdomyolysis,2732,0
atorvastatin,7f526f14-d2ba-4665-873c-0ab3d60f7aac,1,42229-5,Spl Unclassified Section,5.2 Immune-Mediated Necrotizing Myopathy,IMMUNE-MEDIATED NECROTIZING MYOPATHY,unclassified_with_title,79dd73e4-3521-44a6-bf87-346403d2ddfa,5 WARNINGS AND PRECAUTIONS > 5.2 Immune-Mediated Necrotizing Myopathy,668,0
atorvastatin,3d6e244e-6ae4-45dd-a445-b1b2772ef6c7,1,42229-5,Spl Unclassified Section,5.3 Hepatic Dysfunction,HEPATIC DYSFUNCTION,unclassified_with_title,79dd73e4-3521-44a6-bf87-346403d2ddfa,5 WARNINGS AND PRECAUTIONS > 5.3 Hepatic Dysfunction,1196,0
atorvastatin,f1811269-3770-4c98-a440-679f76787a36,1,42229-5,Spl Unclassified Section,5.4 Increases in HbA1c and Fasting Serum Glucose Levels,INCREASES IN HBA1C AND FASTING SERUM GLUCOSE LEVELS,unclassified_with_title,79dd73e4-3521-44a6-bf87-346403d2ddfa,5 WARNINGS AND PRECAUTIONS > 5.4 Increases in HbA1c and Fasting Serum Glucose Levels,241,0
